Name,Fulladdress,Phone,Google Maps URL,Latitude,Longitude,Type
Amma Odi,"D.No. 8-2-1-A, Revallapalem Road, Bakkannapalem, near D-Mart, Srinivasa Nagar, Madhurawada, Madhuravada, Andhra Pradesh 530048",090005 50256,https://www.google.com/maps?cid=5015917256732770726,17.8168652,83.3552233,orphanage
Ananda Marga Orphanage,"2-280/1, Service Rd, Indira Gandhi Nagar, Adarsh Nagar, Visakhapatnam, Andhra Pradesh 530040",090305 02164,https://www.google.com/maps?cid=13723546189876383166,17.7631416,83.3338178,orphanage
Krupa sadhana charitable trust,"Mithila puri Vuda Colony, opp Bank of Baroda. Madhurawada, near govt school, madhura wada metta, Pata, Andhra Pradesh 530041",070133 47587,https://www.google.com/maps?cid=3649335493893046076,17.8044026,83.3654047,orphanage
Love-N-Care Ministries,"R83W+PVR, Love-N-Care Ministries, Pothinamallayya Palem, Potinamallayyapalem, Andhra Pradesh 530041",089127 81540,https://www.google.com/maps?cid=9643100237870552322,17.8043703,83.3471559,orphanage
CHILDREN GROWTH CHARITABLE TRUST,"111, Kothavada, Gavara Kanchara Palem, Reddy Nagar, Visakhapatnam, Andhra Pradesh 530008",098854 60661,https://www.google.com/maps?cid=5678121767277554511,17.735147,83.2771264,orphanage
SRI ARYAHI FOUNDATION,"Ushodaya Junction, Adarsh Nagar, MVP Colony, Visakhapatnam, Andhra Pradesh 530017",097046 99993,https://www.google.com/maps?cid=11877843871262277772,17.7366216,83.334226,orphanage
Care & Love Orphanage,"39-33-21/4, Vuda Layout, Madhavadhara, Visakhapatnam, Andhra Pradesh 530018",089127 33711,https://www.google.com/maps?cid=3543198549524898025,17.7511734,83.2481841,orphanage
PAPA Home for Girls,"P8W4+79R, 50-117-4, Maruti Nagar, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",089125 23866,https://www.google.com/maps?cid=17890431738809408855,17.745752,83.3076534,orphanage
Surya Helping Hands,"Door Number: 44, Chekkuduraya Building, Back Side, 34-65/b, Nandagiri Nagar, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530016",099488 03521,https://www.google.com/maps?cid=18007371440143875710,17.7328366,83.2954012,orphanage
TRUTH CHARITABLE TRUST,"19-27-25/1, Vuda Colony, phase ii, Gandhi nagar, Pedagantyada, Gajuwaka, Andhra Pradesh 530044",089888 97778,https://www.google.com/maps?cid=7578581595880196095,17.6705933,83.1936602,orphanage
Spoorthi Orphanage - AIM Spoorthi Welfare Society,"M.G.Road, Backside Holy Cross Church, Panthulugarimeda, Old Gajuwaka, Gajuwaka, Andhra Pradesh 530026",099511 39166,https://www.google.com/maps?cid=18304105852125506539,17.6893146,83.2041493,orphanage
Manasu Orphanage,"21-167, Simhachalam Rd, Ganesh Colony, Srinivas Nagar, Prahaladapuram, Simhachalam, Vepagunta, Andhra Pradesh 530027",094946 68723,https://www.google.com/maps?cid=4720484949520339827,17.7689874,83.2285371,orphanage
Aradhana Children Home ( Orphanage),"near GVMC Water Tanks, Peda Narava, LG Nagar, Kotta Narava, Andhra Pradesh 530027",092466 28661,https://www.google.com/maps?cid=3399523422128252425,17.7476677,83.1766393,orphanage
MANAKUTUMBAM CHILDREN HOME,"GOLLALA TALLAVALSA, TALLAVALASA, near DORATHOTA, Bheemunipatnam, Visakhapatnam, Andhra Pradesh 531162",090305 07454,https://www.google.com/maps?cid=2373127532760030328,17.896343,83.4060293,orphanage
ANNI HANNAH HOME,"beside sri surya hospital, Durga Nagar, Gavara Kanchara Palem, Kancharapalem, Visakhapatnam, Andhra Pradesh 530008",090008 36448,https://www.google.com/maps?cid=7865413787948603962,17.733673,83.2753892,orphanage
SMITH LOVE CHARITABLE TRUST,"Kshatriya Kalayanamandapam, A.S.R BILAL COLONY, Seethammadara, Visakhapatnam, Andhra Pradesh 530013",093921 75574,https://www.google.com/maps?cid=5077549821068001700,17.7473436,83.3124303,orphanage
Garlapati Residency,"Garlapati Residency, 49-36, NGGOS Colony, NGGO's Colony, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530016",083330 11113,https://www.google.com/maps?cid=8844897115755823529,17.7375289,83.3009931,orphanage
Happy Homes oldage homes,"Better Future Towers, Old Dairy Farm Rd, Near Sai Baba Temple, Adarsh Nagar, Visakhapatnam, Andhra Pradesh 530040",089787 12247,https://www.google.com/maps?cid=12740420657593821381,17.7636859,83.3299166,old age homes
Vanaprastam Retirement Home - Oldage Homes in Vizag,"D.no 9, 68-/7, Shivaji Palem, Pithapuram Colony, Maddilapalem, Visakhapatnam, Andhra Pradesh 530017",099882 86287,https://www.google.com/maps?cid=9258620158354865187,17.7362778,83.329428,old age homes
"Vaarahi Old Age and Retirement Homes - Best Oldage Homes in Arilova,Vizag","Backside Care Hospital Health City, 13-718, Parvati Nagar, Arilova, Visakhapatnam, Andhra Pradesh 530040",095532 20412,https://www.google.com/maps?cid=7088916663855779565,17.7645566,83.3153195,old age homes
Sri Vaishnavi Retirement Homes and Old Age Home in Vizag,"19, Alluri Sitarama Raju Marg, beside Zilla Sahakara Co operate Bank, Vishalakshi Nagar, Visakhapatnam, Andhra Pradesh 530043",093920 66978,https://www.google.com/maps?cid=15498638751816488399,17.7567626,83.3387564,old age homes
Vanaprastam Old Age Home,"37-11-7 Pattabhi Reddy Thota, Near Govt. Polytechnic College, Kapparada Rd, Ayyappa Nagar, Visakhapatnam, Andhra Pradesh 530007",096666 22288,https://www.google.com/maps?cid=18079192962865539091,17.7423177,83.2686166,old age homes
Mother Golden Home Medical Services Old age homes,"#10-39, SFG, 123, Stadium Road, near YSR Cricket, Pothinamallayya Palem, Potinamallayyapalem, Andhra Pradesh 530041",070759 75225,https://www.google.com/maps?cid=17315168210325810367,17.7992469,83.3521863,old age homes
Vizag Old-age Home,"18-117/16D, Krishna Nagar, Srinivasa Nagar, Madhurawada, Madhuravada, Andhra Pradesh 530048",094403 55465,https://www.google.com/maps?cid=11731803072212460911,17.814575,83.3598841,old age homes
HOME FOR AGED,"45-57-20/A, near RYTHU BAZAAR, Narasimha Nagar, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530024",087904 49799,https://www.google.com/maps?cid=9162619516819284974,17.7418284,83.2982284,old age homes
